# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 59 | 20.979 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[2242] 5 103/129` |
| 60 | 20.919 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[2797] -5 43/63` |
| 61 | 20.808 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[6487] 5 123/133` |
| 62 | 20.769 us | `real` | `generated_ln_abs_plus_one_build` | `generated[3989] 3 1/2` |
| 63 | 20.759 us | `real` | `generated_ln_abs_plus_one_build` | `generated[4004] -1 5/556` |
| 64 | 20.719 us | `computable` | `generated_atan_p96` | `generated[11034] 1 367/518` |
| 65 | 20.518 us | `computable` | `generated_atan_p96` | `generated[15504] -1 228/413` |
| 66 | 20.509 us | `computable` | `generated_atan_p96` | `generated[5094] -1 347/604` |
| 67 | 20.449 us | `real` | `generated_ln_abs_plus_one_build` | `generated[9734] -1 11/20` |
| 68 | 20.359 us | `real` | `generated_ln_abs_plus_one_build` | `generated[14324] -1 27/76` |
| 69 | 20.358 us | `computable` | `generated_tan_p96` | `generated[11841] -5 2/17` |
| 70 | 20.149 us | `real` | `generated_ln_abs_plus_one_build` | `generated[10784] 3 19/98` |
| 71 | 19.999 us | `real` | `generated_ln_abs_plus_one_build` | `generated[15554] -3 155/278` |
| 72 | 19.888 us | `real` | `generated_ln_abs_plus_one_build` | `generated[13274] 1 35/452` |
| 73 | 19.869 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17797] 1 328/503` |
| 74 | 19.849 us | `computable` | `generated_tan_p96` | `generated[12561] 4 19/21` |
| 75 | 19.799 us | `real` | `generated_ln_abs_plus_one_build` | `generated[12104] -1 69/124` |
| 76 | 19.749 us | `real` | `generated_ln_abs_plus_one_build` | `generated[6299] -1 17/140` |
| 77 | 19.718 us | `computable` | `generated_atan_p96` | `generated[13449] -1 253/478` |
| 78 | 19.649 us | `computable` | `generated_sin_p96` | `generated[17464] 4 43/53` |
| 79 | 19.578 us | `computable` | `generated_sin_p96` | `generated[12694] 5 1/4` |
| 80 | 19.549 us | `computable` | `generated_tan_p96` | `generated[13446] -5 15/187` |
| 81 | 19.549 us | `computable` | `generated_tan_p96` | `generated[18666] 5 15/17` |
| 82 | 19.488 us | `real` | `generated_ln_abs_plus_one_build` | `generated[13229] -10 49/75` |
