# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 260 | 16.009 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16747] 143/347` |
| 261 | 16.009 us | `computable` | `generated_tan_p96` | `generated[2571] 5 29/46` |
| 262 | 15.979 us | `computable` | `generated_atan_p96` | `generated[13284] -1 21/25` |
| 263 | 15.979 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17482] -35/171` |
| 264 | 15.979 us | `computable` | `generated_tan_p96` | `generated[14781] 7 49/72` |
| 265 | 15.969 us | `computable` | `generated_atan_p96` | `generated[10674] 1 99/493` |
| 266 | 15.959 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9502] 2 59/467` |
| 267 | 15.959 us | `computable` | `generated_tan_p96` | `generated[17526] -6 133/138` |
| 268 | 15.949 us | `real` | `generated_ln_abs_plus_one_build` | `generated[1049] -6 2/5` |
| 269 | 15.939 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9127] -395/981` |
| 270 | 15.919 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9517] 89/925` |
| 271 | 15.899 us | `computable` | `generated_tan_p96` | `generated[7341] -3 89/110` |
| 272 | 15.889 us | `computable` | `generated_atan_p96` | `generated[15609] -1 86/157` |
| 273 | 15.879 us | `computable` | `generated_tan_p96` | `generated[1071] -3 177/200` |
| 274 | 15.878 us | `computable` | `generated_atan_p96` | `generated[13929] 1 147/179` |
| 275 | 15.849 us | `computable` | `generated_atan_p96` | `generated[6939] -1 90/109` |
| 276 | 15.849 us | `computable` | `generated_atan_p96` | `generated[714] -1 385/466` |
| 277 | 15.839 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9382] 229/791` |
| 278 | 15.829 us | `computable` | `generated_atan_p96` | `generated[11229] -1 191/245` |
| 279 | 15.809 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17137] 2 15/97` |
| 280 | 15.809 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4927] 2 137/357` |
| 281 | 15.799 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12772] -177/611` |
| 282 | 15.779 us | `computable` | `generated_atan_p96` | `generated[6459] 1 335/408` |
| 283 | 15.768 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17287] -417/883` |
| 284 | 15.759 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9172] 2 169/361` |
| 285 | 15.758 us | `computable` | `generated_atan_p96` | `generated[12399] 1 129/161` |
| 286 | 15.749 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8722] 25/579` |
| 287 | 15.739 us | `computable` | `generated_tan_p96` | `generated[5316] -3 125/204` |
| 288 | 15.729 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13462] 109/371` |
| 289 | 15.719 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17317] -113/401` |
| 290 | 15.709 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8527] -217/607` |
| 291 | 15.699 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5332] 431/759` |
| 292 | 15.699 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9217] 89/369` |
| 293 | 15.699 us | `computable` | `generated_tan_p96` | `generated[13611] -3 179/240` |
| 294 | 15.699 us | `real` | `generated_sin_build` | `generated[11308] 5 4/59` |
| 295 | 15.679 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12442] -279/505` |
| 296 | 15.679 us | `computable` | `generated_tan_p96` | `generated[17856] -3 127/244` |
| 297 | 15.659 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8647] 1 264/283` |
| 298 | 15.649 us | `computable` | `generated_atan_p96` | `generated[6099] 1 67/383` |
| 299 | 15.638 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[14122] 211/477` |
| 300 | 15.629 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1027] 9/917` |
| 301 | 15.609 us | `computable` | `generated_atan_p96` | `generated[11154] -1 78/97` |
| 302 | 15.599 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12472] -11/53` |
| 303 | 15.599 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12892] 2 13/287` |
| 304 | 15.599 us | `computable` | `generated_tan_p96` | `generated[13281] 7 30/67` |
| 305 | 15.589 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1402] -1 199/403` |
| 306 | 15.579 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11647] -2 25/159` |
| 307 | 15.579 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17152] -277/749` |
| 308 | 15.579 us | `computable` | `generated_tan_p96` | `generated[906] -5 31/49` |
| 309 | 15.569 us | `computable` | `generated_tan_p96` | `generated[17496] 3 190/219` |
| 310 | 15.559 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8557] -13/263` |
| 311 | 15.549 us | `computable` | `generated_cos_p96` | `generated[17135] 4 93/97` |
| 312 | 15.539 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3322] -1 14/17` |
| 313 | 15.539 us | `computable` | `generated_tan_p96` | `generated[8841] 4 42/79` |
| 314 | 15.530 us | `computable` | `generated_tan_p96` | `generated[7566] -3 24/37` |
| 315 | 15.519 us | `computable` | `generated_atan_p96` | `generated[4929] 1 446/551` |
| 316 | 15.499 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12022] -1 52/107` |
| 317 | 15.499 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8827] -153/397` |
| 318 | 15.489 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18367] 231/479` |
| 319 | 15.489 us | `computable` | `generated_tan_p96` | `generated[4956] 5 74/179` |
| 320 | 15.479 us | `computable` | `generated_atan_p96` | `generated[7014] -1 316/405` |
| 321 | 15.479 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17662] 2 233/369` |
| 322 | 15.469 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11587] -2 83/321` |
| 323 | 15.439 us | `computable` | `generated_tan_p96` | `generated[7176] -5 54/167` |
| 324 | 15.429 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15967] -1 122/153` |
| 325 | 15.429 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16252] -5/94` |
| 326 | 15.429 us | `computable` | `generated_tan_p96` | `generated[9621] -6 39/46` |
| 327 | 15.399 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8917] 267/551` |
| 328 | 15.389 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13132] 29/159` |
| 329 | 15.389 us | `computable` | `generated_tan_p96` | `generated[11256] -7 37/59` |
| 330 | 15.369 us | `computable` | `generated_sin_p96` | `generated[1594] -6 25/28` |
| 331 | 15.349 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13222] 1 296/393` |
| 332 | 15.349 us | `computable` | `generated_tan_p96` | `generated[4791] 7 2/7` |
| 333 | 15.348 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8857] -5/31` |
| 334 | 15.348 us | `computable` | `generated_tan_p96` | `generated[3261] -3 20/269` |
| 335 | 15.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12802] 7/265` |
| 336 | 15.329 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5077] -193/949` |
| 337 | 15.329 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9187] -1/63` |
| 338 | 15.329 us | `computable` | `generated_tan_p96` | `generated[13251] 3 162/215` |
| 339 | 15.328 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12307] -139/371` |
| 340 | 15.319 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7807] -1 246/557` |
| 341 | 15.319 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8062] -179/367` |
| 342 | 15.299 us | `computable` | `generated_sin_p96` | `generated[14329] -4 25/32` |
| 343 | 15.289 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16102] -1 372/593` |
| 344 | 15.279 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7087] 1 103/507` |
| 345 | 15.259 us | `computable` | `generated_tan_p96` | `generated[9426] -7 39/74` |
| 346 | 15.249 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16687] -239/509` |
| 347 | 15.239 us | `computable` | `asinh_p128` | `large` |
| 348 | 15.239 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13372] -71/197` |
| 349 | 15.239 us | `computable` | `generated_tan_p96` | `generated[15636] 3 231/256` |
| 350 | 15.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16267] -1 134/323` |
| 351 | 15.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[892] 149/783` |
| 352 | 15.219 us | `computable` | `generated_atan_p96` | `generated[3744] 1 188/261` |
| 353 | 15.199 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3097] -2 179/313` |
| 354 | 15.189 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[6247] -740/781` |
| 355 | 15.189 us | `computable` | `generated_sin_p96` | `generated[10279] -4 1/64` |
| 356 | 15.188 us | `real` | `generated_sin_build` | `generated[15553] 5 32/181` |
| 357 | 15.169 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7402] -2 73/155` |
| 358 | 15.169 us | `computable` | `generated_sin_p96` | `generated[15964] 5 115/168` |
| 359 | 15.159 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13552] 1 292/499` |
| 360 | 15.149 us | `computable` | `generated_atan_p96` | `generated[14259] 1 143/285` |
| 361 | 15.149 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17047] 9/89` |
| 362 | 15.139 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5107] -1/434` |
| 363 | 15.139 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7777] -1 178/319` |
| 364 | 15.139 us | `computable` | `generated_tan_p96` | `generated[11616] -4 35/143` |
| 365 | 15.129 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4147] -117/469` |
| 366 | 15.129 us | `computable` | `generated_tan_p96` | `generated[11391] 3 29/36` |
| 367 | 15.119 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16087] -61/135` |
| 368 | 15.089 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9247] 41/73` |
| 369 | 15.088 us | `computable` | `generated_tan_p96` | `generated[7146] 3 175/248` |
| 370 | 15.069 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5632] 171/473` |
| 371 | 15.059 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[847] 2 25/203` |
| 372 | 15.048 us | `computable` | `generated_atan_p96` | `generated[16809] 1 292/379` |
| 373 | 15.039 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8887] 19/158` |
| 374 | 15.029 us | `computable` | `generated_sin_p96` | `generated[16354] -5` |
| 375 | 15.029 us | `computable` | `generated_tan_p96` | `generated[15801] -3 22/309` |
| 376 | 15.019 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17812] -73/961` |
| 377 | 15.019 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4072] 2 59/173` |
| 378 | 15.019 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4282] -257/603` |
| 379 | 15.019 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5257] 2 27/463` |
| 380 | 15.019 us | `computable` | `generated_tan_p96` | `generated[12726] 3 52/137` |
| 381 | 15.019 us | `computable` | `generated_tan_p96` | `generated[18831] 3 3/8` |
| 382 | 15.019 us | `computable` | `generated_tan_p96` | `generated[3291] -3 18/47` |
| 383 | 15.009 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8662] -119/247` |
| 384 | 15.009 us | `computable` | `generated_tan_p96` | `generated[11226] 4 112/199` |
| 385 | 15.009 us | `computable` | `generated_tan_p96` | `generated[9816] -4 1/18` |
| 386 | 14.999 us | `computable` | `generated_atan_p96` | `generated[2799] -1 25/32` |
| 387 | 14.999 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5272] 49/921` |
| 388 | 14.989 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11722] -1 82/91` |
| 389 | 14.989 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3292] -1 278/285` |
| 390 | 14.989 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7462] -1/990` |
| 391 | 14.989 us | `computable` | `generated_tan_p96` | `generated[2931] -5 114/163` |
| 392 | 14.989 us | `computable` | `generated_tan_p96` | `generated[6816] 5 107/142` |
| 393 | 14.979 us | `computable` | `generated_atan_p96` | `generated[15564] -1 8/251` |
| 394 | 14.969 us | `computable` | `generated_sin_p96` | `generated[14104] -4 72/205` |
| 395 | 14.959 us | `computable` | `generated_atan_p96` | `generated[9174] -1 11/15` |
| 396 | 14.959 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[832] -233/945` |
| 397 | 14.959 us | `computable` | `generated_sin_p96` | `generated[16324] -3 172/193` |
| 398 | 14.929 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16552] -33/125` |
| 399 | 14.929 us | `computable` | `generated_tan_p96` | `generated[15471] 4 136/203` |
| 400 | 14.929 us | `computable` | `generated_tan_p96` | `generated[9036] 7 24/65` |
| 401 | 14.909 us | `computable` | `generated_atan_p96` | `generated[15624] 1 34/89` |
| 402 | 14.909 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1387] 151/471` |
| 403 | 14.909 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4342] 125/441` |
| 404 | 14.909 us | `computable` | `generated_tan_p96` | `generated[6981] 4 88/195` |
| 405 | 14.899 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[682] 2 105/353` |
| 406 | 14.889 us | `computable` | `generated_atan_p96` | `generated[4959] -1 341/470` |
| 407 | 14.889 us | `computable` | `generated_tan_p96` | `generated[6621] 3 13/34` |
| 408 | 14.869 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17467] 1 332/397` |
| 409 | 14.869 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4942] -53/815` |
| 410 | 14.869 us | `computable` | `generated_tan_p96` | `generated[15666] -4 109/175` |
| 411 | 14.859 us | `computable` | `generated_atan_p96` | `generated[17529] -1 313/429` |
| 412 | 14.859 us | `computable` | `generated_atan_p96` | `generated[684] 1 410/547` |
| 413 | 14.859 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4312] -11/87` |
| 414 | 14.859 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9307] 1 256/495` |
| 415 | 14.859 us | `computable` | `generated_tan_p96` | `generated[11586] -3 9/16` |
| 416 | 14.849 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18862] 5 1/8` |
| 417 | 14.849 us | `computable` | `generated_tan_p96` | `generated[17886] -4 16/163` |
| 418 | 14.839 us | `computable` | `generated_cos_p96` | `generated[9725] -4 63/164` |
| 419 | 14.838 us | `computable` | `generated_tan_p96` | `generated[15696] -6 27/47` |
| 420 | 14.829 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15832] -2 7/65` |
| 421 | 14.829 us | `computable` | `generated_sin_p96` | `generated[6589] 4 10/57` |
| 422 | 14.819 us | `computable` | `generated_cos_p96` | `generated[15275] 4 97/134` |
| 423 | 14.789 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1597] -24/25` |
| 424 | 14.779 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13882] 1 288/605` |
| 425 | 14.779 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5092] 2 1/5` |
| 426 | 14.769 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4477] -3/115` |
| 427 | 14.769 us | `computable` | `generated_tan_p96` | `generated[16971] 3 80/141` |
| 428 | 14.749 us | `computable` | `generated_atan_p96` | `generated[18339] 1 181/236` |
| 429 | 14.739 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1552] 353/995` |
| 430 | 14.739 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4612] -155/709` |
| 431 | 14.729 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3382] 5/21` |
| 432 | 14.729 us | `computable` | `generated_sin_p96` | `generated[10054] -3 171/173` |
| 433 | 14.729 us | `computable` | `generated_tan_p96` | `generated[711] 5 54/175` |
| 434 | 14.719 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4972] 69/367` |
| 435 | 14.719 us | `computable` | `generated_tan_p96` | `generated[13641] -4 24/53` |
| 436 | 14.709 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9157] -17/75` |
| 437 | 14.689 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12862] 1 7/92` |
| 438 | 14.689 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8257] 21/113` |
| 439 | 14.689 us | `computable` | `generated_tan_p96` | `generated[11646] -6 22/31` |
| 440 | 14.689 us | `computable` | `generated_tan_p96` | `generated[876] 4 17/57` |
| 441 | 14.679 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16387] -75/161` |
| 442 | 14.679 us | `computable` | `generated_tan_p96` | `generated[10701] 4 80/121` |
| 443 | 14.679 us | `computable` | `generated_tan_p96` | `generated[10866] 3 31/58` |
| 444 | 14.669 us | `computable` | `generated_tan_p96` | `generated[1041] -3 125/281` |
| 445 | 14.659 us | `computable` | `generated_cos_p96` | `generated[6260] 4 17/48` |
| 446 | 14.649 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4012] 23/335` |
| 447 | 14.649 us | `real` | `generated_sin_build` | `generated[11473] 4 14/115` |
| 448 | 14.639 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1417] 493/861` |
| 449 | 14.629 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[2287] 35/506` |
| 450 | 14.629 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3232] -2 17/149` |
| 451 | 14.629 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3682] -79/229` |
| 452 | 14.629 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4582] -173/395` |
| 453 | 14.619 us | `computable` | `generated_tan_p96` | `generated[2736] 4 64/191` |
| 454 | 14.619 us | `computable` | `generated_tan_p96` | `generated[4761] 3 106/207` |
| 455 | 14.609 us | `computable` | `generated_atan_p96` | `generated[15639] -1 234/547` |
| 456 | 14.609 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12172] 1/237` |
| 457 | 14.609 us | `real` | `generated_sin_build` | `generated[13168] 5 9/28` |
| 458 | 14.599 us | `computable` | `generated_sin_p96` | `generated[13909] 3 166/233` |
| 459 | 14.599 us | `computable` | `generated_tan_p96` | `generated[5346] -4 18/41` |
| 460 | 14.589 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7342] -2 131/317` |
| 461 | 14.579 us | `computable` | `generated_atan_p96` | `generated[6624] 1 333/461` |
| 462 | 14.579 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3262] -2 11/183` |
| 463 | 14.569 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18007] 169/933` |
| 464 | 14.569 us | `computable` | `generated_sin_p96` | `generated[17989] 4 59/92` |
| 465 | 14.569 us | `computable` | `generated_tan_p96` | `generated[8316] 4 13/20` |
| 466 | 14.559 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3427] -1 284/419` |
| 467 | 14.549 us | `computable` | `generated_atan_p96` | `generated[12564] 1 256/375` |
| 468 | 14.549 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4747] -295/843` |
| 469 | 14.539 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11617] -2 9/40` |
| 470 | 14.539 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[697] -93/811` |
| 471 | 14.539 us | `computable` | `generated_tan_p96` | `generated[15831] -3 37/114` |
| 472 | 14.529 us | `computable` | `generated_atan_p96` | `generated[13314] -1 247/344` |
| 473 | 14.519 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4672] 227/547` |
| 474 | 14.519 us | `computable` | `generated_tan_p96` | `generated[2046] 7 13/60` |
| 475 | 14.509 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4642] 9/157` |
| 476 | 14.499 us | `computable` | `generated_atan_p96` | `generated[744] -1 5/7` |
| 477 | 14.499 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[67] -53/259` |
| 478 | 14.499 us | `computable` | `generated_tan_p96` | `generated[2901] 3 147/244` |
| 479 | 14.489 us | `computable` | `generated_tan_p96` | `generated[5121] -4 51/232` |
| 480 | 14.489 us | `computable` | `generated_tan_p96` | `generated[7596] -7 2/15` |
| 481 | 14.479 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[10837] 1 145/352` |
| 482 | 14.469 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11782] -1 190/293` |
| 483 | 14.469 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18202] 411/905` |
| 484 | 14.449 us | `computable` | `generated_atan_p96` | `generated[2214] 1 299/404` |
| 485 | 14.449 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7477] -2 3/451` |
| 486 | 14.439 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[727] 49/365` |
| 487 | 14.439 us | `computable` | `generated_tan_p96` | `generated[9561] -3 73/208` |
| 488 | 14.429 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[637] -475/973` |
| 489 | 14.429 us | `computable` | `generated_sin_p96` | `generated[1399] -7 37/112` |
| 490 | 14.429 us | `computable` | `generated_tan_p96` | `generated[6291] 7 25/64` |
| 491 | 14.419 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5137] 189/787` |
| 492 | 14.409 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5467] 291/893` |
| 493 | 14.409 us | `computable` | `generated_sin_p96` | `generated[12079] -4 5/27` |
| 494 | 14.399 us | `computable` | `generated_atan_p96` | `generated[15444] 1 401/575` |
| 495 | 14.399 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15217] 397/490` |
| 496 | 14.399 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5002] 329/653` |
| 497 | 14.399 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[562] 47/677` |
| 498 | 14.399 us | `computable` | `generated_tan_p96` | `generated[11811] -3 4/23` |
| 499 | 14.389 us | `computable` | `generated_cos_p96` | `generated[680] 4 29/159` |
| 500 | 14.389 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17647] -31/227` |
| 501 | 14.389 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[427] 187/543` |
| 502 | 14.379 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12787] 12 3/4` |
| 503 | 14.379 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[157] 1 192/275` |
| 504 | 14.379 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17422] -27 17/20` |
| 505 | 14.379 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[37] -297/599` |
| 506 | 14.369 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[2752] -3/746` |
| 507 | 14.369 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3697] -1 296/687` |
| 508 | 14.369 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[97] 85/437` |
| 509 | 14.369 us | `computable` | `generated_tan_p96` | `generated[516] 3 78/203` |
| 510 | 14.359 us | `computable` | `generated_atan_p96` | `generated[9099] -1 181/259` |
| 511 | 14.349 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7507] -1 172/185` |
| 512 | 14.349 us | `computable` | `generated_tan_p96` | `generated[5286] -3 73/285` |
| 513 | 14.339 us | `computable` | `generated_cos_p96` | `generated[11750] -4 5/9` |
| 514 | 14.339 us | `computable` | `generated_cos_p96` | `generated[14750] 5 9/56` |
| 515 | 14.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1087] 391/755` |
| 516 | 14.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17707] 129/373` |
| 517 | 14.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18127] 1 108/203` |
| 518 | 14.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[232] -55/571` |
| 519 | 14.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4402] 1 76/93` |
| 520 | 14.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[4807] 29/227` |
| 521 | 14.329 us | `computable` | `generated_atan_p96` | `generated[2904] -1 366/535` |
| 522 | 14.319 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17677] 67/827` |
| 523 | 14.319 us | `computable` | `generated_tan_p96` | `generated[4596] 4 30/77` |
| 524 | 14.309 us | `computable` | `generated_atan_p96` | `generated[8154] 1 37/53` |
| 525 | 14.309 us | `computable` | `generated_tan_p96` | `generated[546] 7 12/61` |
| 526 | 14.299 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17617] -315/989` |
| 527 | 14.279 us | `computable` | `generated_cos_p96` | `generated[16025] -5 74/103` |
| 528 | 14.279 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1222] 251/889` |
| 529 | 14.269 us | `computable` | `generated_sin_p96` | `generated[18349] -4 16/209` |
| 530 | 14.259 us | `computable` | `generated_atan_p96` | `generated[13479] -1 143/397` |
| 531 | 14.249 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[14047] 1 143/329` |
| 532 | 14.249 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[667] -71/223` |
| 533 | 14.239 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17872] 309/799` |
| 534 | 14.239 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[337] -193/393` |
| 535 | 14.239 us | `computable` | `generated_sin_p96` | `generated[1009] 4 11/84` |
| 536 | 14.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13957] 7/17` |
| 537 | 14.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17542] 23/77` |
| 538 | 14.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[502] -335/839` |
| 539 | 14.229 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7927] -39/233` |
| 540 | 14.229 us | `computable` | `generated_sin_p96` | `generated[12109] -5 5/9` |
| 541 | 14.229 us | `computable` | `generated_sin_p96` | `generated[3229] 5 55/156` |
| 542 | 14.219 us | `computable` | `generated_cos_p96` | `generated[155] 3 26/27` |
| 543 | 14.219 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[3562] -1 290/553` |
| 544 | 14.209 us | `computable` | `generated_cos_p96` | `generated[11030] 4 73/130` |
| 545 | 14.199 us | `real` | `generated_sin_build` | `generated[15193] 4 5/39` |
| 546 | 14.179 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7537] -1 234/289` |
| 547 | 14.159 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11632] 561/698` |
| 548 | 14.159 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15877] 601/702` |
| 549 | 14.159 us | `computable` | `generated_sin_p96` | `generated[10084] -5 39/92` |
